===== factorial_cell_summary.csv =====
bank  continuation  dataset      mae_mean             mae_std               mse_mean             mse_std               runs  scale       variant
Weather      96       0.21837283888511494  0.0013343551229439256  VPNet         0.1724156467231628   0.0009448395977538773   5
ETTh1        192      0.43979663272980546  0.0006025686873715357  iTransformer  0.4466005866423567   0.0011009972638567798   5
ETTh1        336      0.46068248925537186  0.0005970938761182589  iTransformer  0.4865772335994197   0.0013855099201411129   5
ETTh1        720      0.48858523363588746  0.00341391112583907    iTransformer  0.4969171469894017   0.006464345498701358    5
ETTh1        96       0.4104020955944362   0.0011380294644676443  iTransformer  0.39478729043891925  0.0015653470812647605   5
ETTm1        192      0.3937868457579314   0.0005969640237384879  xCPD          0.3863896484792572   0.000830273885322499    5
ETTm1        336      0.41982633713611356  0.0017957718040992796  xCPD          0.41974420287384706  0.0013300817044664607   5
ETTm1        720      0.4604819016987475   0.005230128577258207   xCPD          0.4834895816075725   0.005031090248987893    5
ETTm1        96       0.3767013245320536   0.0008981876904270811  xCPD          0.3535965977019166   0.0013181600686763086   5
===== capacity_summary.csv =====
dataset      mae_mean             mae_std               mse_mean             mse_std               runs  variant
ETTh1        0.44642008202738925  0.02607287758145337   0.4565179197996794   0.041206076603802086  4     no_bank_decoder_matched
ETTh2        0.40606848627047964  0.04083786505870173   0.38484900703981945  0.05718028927773047   4     no_bank_decoder_matched
ETTm1        0.42161189617080475  0.036366213972692525  0.4201748621210311   0.0666152435241122    4     no_bank_decoder_matched
ETTm2        0.33110950942657025  0.05954881844070292   0.28887191887579866  0.09920225824074748   4     no_bank_decoder_matched
Electricity  0.285498256822187    0.026881927385973933  0.19565629768270315  0.03140362617832812   4     no_bank_decoder_matched
Traffic      0.31466008111476396  0.00843619414091464   0.47304307319608024  0.022346322493795708  4     no_bank_decoder_matched
Weather      0.281050769460959    0.05664226165691027   0.2537082532911865   0.07639571368138062   4     no_bank_decoder_matched
ETTh1        0.4467244885462867   0.0285898751210588    0.45719605736105917  0.0417084450003412    4     no_linear_bank
ETTh2        0.4067326988901746   0.041939963365115934  0.3839290314131828   0.056501363831654     4     no_linear_bank
ETTm1        0.4217038903875188   0.0406570023653364    0.41859048693318085  0.06682440467660798   4     no_linear_bank
ETTm2        0.33230956346423035  0.061049363741196204  0.2891228069129921   0.10049124599222678   4     no_linear_bank
Electricity  0.28623039033404285  0.02578718321989693   0.19631354450732724  0.03091719418080526   4     no_linear_bank
Traffic      0.3169191145621804   0.010793186660726296  0.4763746601323158   0.02581978664898278   4     no_linear_bank
Weather      0.280956442210607    0.055209828932374465  0.2537283224318063   0.0761819493355191    4     no_linear_bank
ETTh1        0.4426846093918493   0.030860513553382263  0.4536982823486417   0.04212923131698026   4     single_scale_selected
ETTh2        0.3988721606824951   0.04284303694854848   0.37713250423221084  0.05712761233840981   4     single_scale_selected
ETTm1        0.41682247548457174  0.03882801214851537   0.409862441161187    0.06323666021990287   4     single_scale_selected
ETTm2        0.3266640849512681   0.059565911977394914  0.2834476526527233   0.09801686410851435   4     single_scale_selected
Electricity  0.28481153406657594  0.02948721808960308   0.19808255561463775  0.03531553150510047   4     single_scale_selected
Traffic      0.31487128269510223  0.008218271247771781  0.47548675709147387  0.02120060366741862   4     single_scale_selected
Weather      0.28129828713874205  0.05635031981516109   0.25442573322685785  0.07723850476559069   4     single_scale_selected
ETTh1        0.44088854704332864  0.033182415534652836  0.4525581234299244   0.044805434073446476  4     single_scale_width_matched
ETTh2        0.40331997029904415  0.04663976069728867   0.38399547686311175  0.06289997729679518   4     single_scale_width_matched
ETTm1        0.411508518806619    0.03497911308096931   0.4035257042482709   0.05608547036380318   4     single_scale_width_matched
ETTm2        0.32684623151534475  0.059703360437196394  0.28297988714608774  0.09845615371106675   4     single_scale_width_matched
Electricity  0.28491724558109427  0.0253820394132413    0.1980162378470087   0.028271298445313592  4     single_scale_width_matched
Traffic      0.31208411298194105  0.008826133052385797  0.4723318831040702   0.021390018404189942  4     single_scale_width_matched
Weather      0.2807812781645532   0.05690232386621269   0.2527142780921158   0.07858104147301641   4     single_scale_width_matched
